id,left,top,right,bottom,bus
3550697,1100661.051909349393100,1762287.256700000027195,1100891.992017025360838,1762087.256700000027195,4
3550696,1100661.051909349393100,1762487.256700000027195,1100891.992017025360838,1762287.256700000027195,0
3550699,1100661.051909349393100,1761887.256700000027195,1100891.992017025360838,1761687.256700000027195,0
3550698,1100661.051909349393100,1762087.256700000027195,1100891.992017025360838,1761887.256700000027195,2
3550677,1100661.051909349393100,1766287.256700000027195,1100891.992017025360838,1766087.256700000027195,2
3550676,1100661.051909349393100,1766487.256700000027195,1100891.992017025360838,1766287.256700000027195,2
3550678,1100661.051909349393100,1766087.256700000027195,1100891.992017025360838,1765887.256700000027195,0
3550673,1100661.051909349393100,1767087.256700000027195,1100891.992017025360838,1766887.256700000027195,0
3550672,1100661.051909349393100,1767287.256700000027195,1100891.992017025360838,1767087.256700000027195,0
3550674,1100661.051909349393100,1766887.256700000027195,1100891.992017025360838,1766687.256700000027195,0
3550684,1100661.051909349393100,1764887.256700000027195,1100891.992017025360838,1764687.256700000027195,4
3550680,1100661.051909349393100,1765687.256700000027195,1100891.992017025360838,1765487.256700000027195,8
3550682,1100661.051909349393100,1765287.256700000027195,1100891.992017025360838,1765087.256700000027195,2
3550671,1100661.051909349393100,1767487.256700000027195,1100891.992017025360838,1767287.256700000027195,2
1977621,943564.043662851909176,1829987.256700000027195,943794.983770527876914,1829787.256700000027195,0
1978353,943564.043662851909176,1683587.256700000027195,943794.983770527876914,1683387.256700000027195,2
1978352,943564.043662851909176,1683787.256700000027195,943794.983770527876914,1683587.256700000027195,0
1978365,943564.043662851909176,1681187.256700000027195,943794.983770527876914,1680987.256700000027195,0
1978362,943564.043662851909176,1681787.256700000027195,943794.983770527876914,1681587.256700000027195,0
1978336,943564.043662851909176,1686987.256700000027195,943794.983770527876914,1686787.256700000027195,2
1978349,943564.043662851909176,1684387.256700000027195,943794.983770527876914,1684187.256700000027195,1
1978344,943564.043662851909176,1685387.256700000027195,943794.983770527876914,1685187.256700000027195,1
1978324,943564.043662851909176,1689387.256700000027195,943794.983770527876914,1689187.256700000027195,0
1978330,943564.043662851909176,1688187.256700000027195,943794.983770527876914,1687987.256700000027195,2
1978308,943564.043662851909176,1692587.256700000027195,943794.983770527876914,1692387.256700000027195,0
1978311,943564.043662851909176,1691987.256700000027195,943794.983770527876914,1691787.256700000027195,0
1978316,943564.043662851909176,1690987.256700000027195,943794.983770527876914,1690787.256700000027195,1
3547237,1100314.641747835557908,1760687.256700000027195,1100545.581855511525646,1760487.256700000027195,4
3547236,1100314.641747835557908,1760887.256700000027195,1100545.581855511525646,1760687.256700000027195,4
3547239,1100314.641747835557908,1760287.256700000027195,1100545.581855511525646,1760087.256700000027195,4
3547238,1100314.641747835557908,1760487.256700000027195,1100545.581855511525646,1760287.256700000027195,2
3547232,1100314.641747835557908,1761687.256700000027195,1100545.581855511525646,1761487.256700000027195,0
3547235,1100314.641747835557908,1761087.256700000027195,1100545.581855511525646,1760887.256700000027195,0
3547234,1100314.641747835557908,1761287.256700000027195,1100545.581855511525646,1761087.256700000027195,2
3547245,1100314.641747835557908,1759087.256700000027195,1100545.581855511525646,1758887.256700000027195,4
3547244,1100314.641747835557908,1759287.256700000027195,1100545.581855511525646,1759087.256700000027195,2
3547246,1100314.641747835557908,1758887.256700000027195,1100545.581855511525646,1758687.256700000027195,2
3547241,1100314.641747835557908,1759887.256700000027195,1100545.581855511525646,1759687.256700000027195,0
3547243,1100314.641747835557908,1759487.256700000027195,1100545.581855511525646,1759287.256700000027195,4
3547222,1100314.641747835557908,1763687.256700000027195,1100545.581855511525646,1763487.256700000027195,4
