시도명,시군구,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월
대구광역시,중구,79192,79001,78831,78504,78172,77935,77858,77770,77738,77743,77659,77421,77282,77151,77136,76955,76880,76984,77062,77120,77030,76849,76727,76547,76382,76159,75647,75366,75133,74727,74433,74125,74032,74682,74793,74791
대구광역시,동구,351255,350609,350340,350066,349441,348825,348236,347700,347347,346834,346334,345469,344932,343857,343933,343568,342897,342627,342657,343317,343233,342552,342432,341920,341498,341661,342656,342468,341730,340693,340426,340242,340024,340575,341114,341436
대구광역시,서구,183777,183029,182468,181782,180870,179920,178917,178067,177384,176642,175930,175277,174803,174389,174042,173807,173278,172802,172657,172465,171947,171576,171060,170700,170383,170005,169432,169022,168704,167773,167270,166878,166406,165862,165208,164528
대구광역시,남구,150216,149790,149503,149314,149002,148682,148347,148211,148224,148174,148193,148113,148057,147938,148083,147905,147746,147482,147355,147235,146864,146513,146658,146632,146428,146255,146006,146188,146066,145105,144889,144564,144484,144119,143645,143175
대구광역시,북구,438886,438136,437671,437393,438388,439093,439332,439421,439354,438963,438423,437710,437189,436530,436847,436863,437566,438608,439432,439690,440500,440832,440736,440263,439906,439218,438365,438248,437892,437333,437083,436827,437146,436499,436567,437008
대구광역시,수성구,432585,432479,431928,431613,431041,430481,430026,429480,429147,428994,428948,428614,428770,428729,428777,428125,427436,426919,426611,426437,425949,425639,424947,424314,424112,423937,422759,421840,420820,419979,420048,419837,419536,418833,418014,417097
대구광역시,달서구,572436,572190,571698,571682,571362,571303,571237,571076,570700,570327,569778,568887,568663,567716,567978,567375,566213,565378,564639,563730,562972,561568,560354,558631,557404,555948,554177,552975,552192,551490,550640,549494,548694,547340,545983,544926
대구광역시,달성군,252035,252904,253390,253800,254015,254239,254713,255020,255376,255851,256316,256540,256792,256573,256772,256925,257043,257154,257609,258234,258354,258642,258945,259339,259700,260008,259833,260189,260403,260546,260960,261659,262465,262811,262906,262451
인천광역시,중구,123529,125332,126707,127766,129243,130022,130806,131385,132052,133293,134318,135135,136013,136879,137587,137994,138535,138783,139042,139154,139299,139391,139646,139729,139762,139776,139325,139548,139930,140175,140641,141341,142053,142618,143052,143633
인천광역시,동구,65987,65705,65475,65257,65057,64998,64875,64778,64718,64601,64485,64427,64337,64216,64039,63866,63795,63546,63309,63093,62957,62802,62747,62542,62485,62381,61755,61680,61530,61436,62258,62410,62244,61977,61716,61486
인천광역시,미추홀구,416449,415692,415172,414387,413750,413178,412471,411678,410998,410162,409463,408862,408394,407369,406829,406690,406602,406125,405498,404360,403500,402662,402392,404343,404843,405125,404175,403999,404236,404618,404560,405811,406482,406789,407010,407464
인천광역시,연수구,348812,350438,351086,352172,353827,355218,357244,359955,362254,364383,365499,366550,367321,369588,370796,371396,372206,372566,374353,378093,380980,383529,385973,387450,388409,389527,390477,390807,390971,390827,390638,390107,389977,389926,389638,389644
인천광역시,남동구,536394,535628,535853,536255,535978,535401,534871,534056,533560,532805,532703,532704,532569,532257,531960,531526,531031,530416,529413,528255,527515,527080,526337,525354,524800,524004,522713,522330,521719,521340,520683,519667,518988,518662,518372,518272
인천광역시,부평구,523538,522310,521384,520171,518940,518096,517029,515759,514856,513666,512610,511577,510362,508587,506682,505236,503946,502365,501128,499290,497902,496958,495882,494962,494487,493610,491370,490968,490970,490609,490138,489178,488683,488092,487201,486765
인천광역시,계양구,311701,310533,309596,308685,307919,307349,306613,305957,305394,304788,304145,303471,302832,301984,301395,300885,300446,299853,299210,298184,297540,297282,297148,296750,296200,296534,296771,296947,296705,296442,296173,295492,294668,294852,295462,295696
인천광역시,서구,539528,540595,541423,542157,542624,542989,543075,543108,543108,543417,544198,544556,544608,544465,544034,543994,544010,544136,544147,543627,543365,542982,542611,542040,541823,541164,540532,540532,540790,541304,542635,544726,549053,552338,553962,555380
인천광역시,강화군,68897,68940,68939,68992,69048,69051,69130,69153,69138,69157,69173,69178,69197,69154,68996,69030,69102,69060,69032,69003,69070,69069,69074,69203,69245,69236,69008,69089,69212,69285,69326,69324,69302,69351,69502,69693
인천광역시,옹진군,21081,20890,20878,20858,20793,20722,20714,20696,20726,20712,20655,20566,20486,20456,20371,20355,20390,20367,20433,20432,20425,20478,20497,20455,20398,20348,20335,20314,20319,20331,20388,20373,20345,20404,20404,20342
광주광역시,동구,94413,94244,94098,94653,95114,95743,96962,97798,98189,98482,98628,98585,98642,98641,98628,98622,99158,99273,99228,99159,100993,102151,102645,102897,102877,102745,102467,102939,103007,103146,103185,103333,103544,103443,103396,103470
광주광역시,서구,304197,303597,302903,302607,302299,301909,301588,301353,301455,301574,301452,300975,301339,301015,300292,300093,299850,299248,298898,298644,298030,297527,297214,296576,296036,295368,294691,294128,293364,293088,292724,292400,292180,291705,291411,291231
광주광역시,남구,216655,217472,217743,217679,217616,217949,218003,218143,218030,218116,218289,218060,218035,217993,217810,217543,216758,216256,215987,215701,215266,215072,214752,214579,214532,214579,213776,213698,213717,213910,214111,214051,214295,215043,215527,215575
광주광역시,북구,439895,439161,438509,437617,436817,436188,435807,435251,435379,435035,434562,433533,433147,432872,433006,433057,432731,433444,433463,433279,432525,431684,431256,430431,430516,430209,429600,429159,428262,427858,428040,427773,428082,427684,427463,427114
광주광역시,광산구,404672,404734,405677,406384,407157,407235,407126,406893,406579,406153,405984,405315,405525,405600,405969,406781,407036,406827,407133,407371,407138,406560,406126,405579,405154,405052,404939,404863,404804,404645,404422,404413,404726,404579,404341,404221
대전광역시,동구,229051,229212,229563,229513,229401,229309,229007,228804,228530,228026,227467,226771,226216,225633,225302,225094,224729,224300,224060,223728,223368,222850,222446,223021,223727,224103,223469,223358,223353,223245,223198,223206,223409,223384,223038,222222
대전광역시,중구,244025,243653,243334,243096,242992,242829,242575,242156,241635,241451,240976,240473,240215,240064,239635,239361,238955,238540,238149,237792,237425,236825,236492,235550,235164,234654,233601,233213,233067,232841,232627,232309,232077,231852,231306,230341
대전광역시,서구,484380,483998,483511,482783,482384,481763,481964,481893,482125,482063,481683,481222,481174,481349,481135,481304,481449,481436,481209,481124,480780,479806,478872,477880,477326,476945,475685,475622,475406,474934,474653,474504,474444,474046,473952,473365
대전광역시,유성구,349803,349802,349666,349868,349792,349635,349200,349079,348985,348986,349308,349373,349824,349915,350055,350439,351532,351882,352316,352550,352604,352231,351790,351047,350875,350374,350136,350017,350046,349927,349836,349809,350337,350284,351049,351277
대전광역시,대덕구,181466,180940,180573,180249,179829,179402,178955,178588,178366,177910,177521,177031,176723,176164,175731,175452,175250,174882,174491,174237,174922,175844,176293,176384,176199,175988,175572,175409,175289,175160,174986,174851,174791,174662,174330,175046
울산광역시,중구,231220,230301,229175,228014,227255,226713,226188,225657,225197,224730,224238,223581,223060,222395,221702,221125,220604,220028,219635,219249,218862,218571,218096,217595,217191,216523,215276,214901,214775,214779,214584,214280,213833,213579,213441,212883
울산광역시,남구,330403,329765,328742,327868,327259,326698,325875,325174,324701,324380,324056,323819,323704,323756,323320,323230,323192,322883,322486,321955,321494,321134,320716,320064,319780,319189,318059,317672,317184,316716,316241,315599,315118,314706,314331,313819
울산광역시,동구,164172,163430,162806,162298,161931,161582,161327,161017,160768,160449,160106,159656,159294,158809,158477,158323,158154,157973,157757,157589,157396,157319,157111,156806,156596,156209,155753,155511,155284,155129,154922,154705,154566,154501,154383,154096
울산광역시,북구,207267,208378,210049,211922,213027,213854,214607,215276,215753,216421,217309,217796,218053,218190,218353,218364,218396,218673,218777,218765,218903,218949,218882,219014,219175,218774,218481,218410,218303,218131,218065,217920,217736,217750,218258,218735
울산광역시,울주군,221724,221861,222028,222191,222213,222454,222894,223170,223454,223429,223213,223167,222926,222560,222711,223056,222802,222633,222707,222752,222713,222608,222540,222538,222628,222258,221685,221669,221629,221614,221915,221955,221983,222030,222082,222059
세종특별자치시,세종특별자치시,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895
충청남도,당진시,167723,167580,167534,167481,167453,167397,167302,167208,167260,167196,167190,167042,166815,166551,166253,166136,166098,166084,166057,166067,165991,166073,166145,166249,166189,166218,166186,166333,166491,166754,166937,166805,166714,166802,166989,167092
충청남도,천안시,1293402,1295520,1296844,1298214,1299028,1299832,1300584,1301504,1302180,1303322,1303826,1304516,1305690,1307632,1308518,1308502,1310384,1315028,1316560,1316424,1317340,1317822,1317954,1317616,1316976,1316590,1315098,1314820,1315550,1315006,1315168,1314500,1315406,1316214,1316930,1316972
충청남도,공주시,107369,107175,107062,107036,107081,107101,107057,106931,106781,106632,106517,106474,106294,106098,105895,105743,105611,105440,105396,105353,105192,104972,104736,104545,104442,104319,103839,103782,103752,103640,103572,103386,103329,103321,103301,103145
충청남도,보령시,101799,101615,101582,101549,101538,101533,101341,101282,101235,101160,101167,101114,100908,100836,100787,100646,100602,100647,100601,100538,100415,100336,100249,100229,99964,99673,99234,99137,99048,98993,98922,98726,98620,98535,98438,98408
충청남도,아산시,313186,313330,313471,313537,313636,313738,313782,313898,313960,314235,314249,314395,314238,313875,313733,313757,313761,313054,313319,313871,314282,314552,315279,316129,316740,317626,317933,318699,319225,320340,321170,322158,322893,323789,324552,324580
충청남도,서산시,174257,174176,174191,174344,174241,174262,174397,174377,174495,174511,174575,174690,174663,174596,174629,174645,174801,174884,175124,175272,175330,175426,175487,175591,175543,175623,175650,175817,176031,176090,176205,176360,176491,176595,176610,176645
충청남도,논산시,120223,120114,120012,120005,119929,119785,119646,119574,119447,119279,119164,118842,118781,118513,118266,118032,117812,117696,117520,117340,117226,117030,116888,116675,116587,116315,115573,115520,115431,115305,115239,115155,114942,114769,114662,114483
충청남도,계룡시,43603,43484,43434,43378,43399,43356,43334,43358,43325,43216,43159,42971,42735,42648,42663,42757,42696,42803,42772,42802,42811,42767,42848,42822,42809,43128,43182,43235,43242,43168,43209,43279,43191,43093,43105,43331
충청남도,금산군,53092,53064,53043,52957,52815,52799,52697,52630,52528,52385,52332,52257,52120,51969,51904,51781,51746,51665,51696,51641,51563,51476,51443,51413,51262,51227,50953,50950,50932,50890,50826,50783,50629,50597,50562,50477
충청남도,부여군,67979,67806,67668,67524,67409,67369,67270,67206,67130,66932,66827,66740,66676,66548,66353,66214,66086,65919,65844,65723,65613,65528,65431,65354,65202,65039,64626,64527,64426,64361,64336,64220,64036,63923,63891,63774
충청남도,서천군,53796,53660,53582,53462,53410,53351,53265,53125,53010,52945,52890,52805,52702,52582,52494,52374,52247,52209,52223,52137,52026,51933,51926,51866,51742,51657,51361,51289,51274,51153,51072,51036,50968,50884,50798,50745
충청남도,청양군,31968,31848,31743,31642,31615,31548,31471,31400,31387,31374,31519,31717,31577,31385,31245,31139,31034,30994,30950,30863,30797,30823,30816,30948,30840,30750,30625,30658,30590,30548,30493,30429,30359,30399,30390,30440
충청남도,홍성군,100956,100799,101203,101037,100983,100952,100809,100790,100701,100749,100598,100423,100347,100245,100063,99973,100013,99980,100020,99984,99909,99844,99890,100102,99850,99753,99756,99755,99757,99440,99425,99465,99399,99407,99336,99324
충청남도,예산군,80045,79935,79819,79791,79661,79684,79647,79594,79523,79466,79400,79238,79126,78915,78881,78726,78618,78610,78609,78420,78370,78286,78146,78084,78129,78048,77585,77538,77468,77348,77284,77241,77016,76974,76830,76801
충청남도,태안군,63100,63026,63012,63062,63048,63064,63039,63035,62983,62878,62802,62743,62628,62418,62324,62283,62193,62272,62281,62296,62364,62390,62346,62214,62050,61871,61771,61802,61818,61867,61931,61890,61808,61782,61600,61526
