시도명,시군구,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월
충청남도,당진시,11745,11751,11762,11875,11897,11810,11819,11834,11812,11801,11797,11793,11785,11793,11836,11856,11861,11880,11876,11886,11906,11918,11896,11940,11959,11978,12037,12052,12073,12073,12101,12128,11965,11985,12125,12115
충청남도,보령시,6485,6473,6471,6451,6467,6486,6502,6501,6495,6499,6486,6458,6454,6439,6439,6461,6469,6500,6518,6518,6514,6529,6540,6540,6552,6545,6541,6554,6570,6570,6596,6597,6366,6355,6377,6368
충청남도,부여군,7347,7343,7340,7343,7346,7334,7328,7329,7328,7303,7291,7284,7286,7283,7277,7266,7254,7253,7256,7249,7235,7236,7237,7256,7250,7244,7230,7221,7212,7212,7186,7162,6925,6917,6926,6894
충청남도,서산시,12251,12298,12297,12307,12344,12357,12375,12380,12405,12411,12407,12389,12379,12435,12464,12501,12503,12532,12555,12543,12580,12566,12540,12540,12582,12582,12621,12690,12696,12696,12711,12723,12256,12100,11987,11935
충청남도,서천군,5310,5297,5303,5308,5300,5295,5300,5299,5296,5285,5283,5279,5273,5263,5251,5247,5249,5251,5228,5226,5215,5203,5205,5189,5183,5168,5161,5154,5148,5148,5124,5126,4787,4786,4753,4753
충청남도,아산시,11893,11922,11972,12011,12031,12037,12103,12124,12158,12151,12166,12157,12156,12171,12218,12283,12310,12382,12390,12423,12468,12510,12541,12546,12567,12625,12688,12798,12813,12813,12940,13004,11489,11539,11733,11738
충청남도,예산군,8100,8101,8110,8128,8121,8132,8123,8136,8138,8127,8130,8111,8102,8100,8097,8115,8123,8127,8108,8095,8090,8074,8063,8045,8050,8038,8035,8043,8048,8048,8035,7836,6930,6902,6932,6922
충청남도,천안시,22230,22302,22413,22461,22580,22642,22687,22779,22797,22836,22806,22807,22869,22961,23093,23280,23347,23466,23604,23723,23872,23916,23938,23938,23922,23936,24070,24170,24281,24281,24571,22876,21278,21298,21480,21456
충청남도,청양군,4354,4352,4370,4373,4372,4370,4355,4353,4355,4350,4348,4351,4357,4352,4360,4356,4366,4350,4339,4336,4329,4333,4332,4320,4322,4322,4315,4321,4323,4323,4317,4321,4320,4317,4322,4328
충청남도,태안군,5528,5528,5524,5525,5546,5557,5580,5584,5598,5606,5612,5606,5615,5614,5615,5606,5623,5643,5637,5632,5630,5631,5632,5618,5610,5614,5610,5627,5630,5630,5644,5643,5265,5251,5266,5257
충청남도,홍성군,8972,8968,8988,8990,8994,8992,8977,8977,8980,8960,8956,8966,8971,8960,8942,8963,8979,8970,8973,8992,8999,9012,8997,8989,8989,8963,8974,8984,8970,8970,8955,8949,8094,7824,7842,7849
