사고번호,기온,강수량,풍속
2019011600100031,-7.3,0.0,4.0
2019011600100177,-5.3,0.0,1.8
2019011600100179,-5.3,0.0,1.8
2019011600100230,-4.0,0.0,3.2
2019011600100259,-2.7,0.0,2.9
2019011600100261,-2.7,0.0,2.9
2019011600100323,-1.7,0.0,2.6
2019011600100324,-1.7,0.0,2.6
2019011600100327,-1.7,0.0,2.6
2019011600100356,-1.9,0.0,1.5
2019011600100360,-1.9,0.0,1.5
2019011600100394,-3.2,0.0,1.7
2019011600100398,-3.2,0.0,1.7
2019011600100399,-3.2,0.0,1.7
2019011600100450,-3.3,0.0,1.8
2019011600100520,-3.1,0.0,2.6
2019011600100545,-2.9,0.0,2.2
2019011700100217,1.8,0.0,2.8
2019011700100218,1.8,0.0,2.8
2019011700100219,1.8,0.0,2.8
2019011700100240,2.4,0.0,4.4
2019011700100241,2.4,0.0,4.4
2019011700100276,3.2,0.0,4.5
2019011700100342,4.0,0.0,3.4
2019011700100345,4.0,0.0,3.4
2019011700100404,1.6,0.0,2.9
2019011700100405,1.6,0.0,2.9
2019011700100406,1.6,0.0,2.9
2019011700100407,1.6,0.0,2.9
2019011700100412,1.6,0.0,2.9
2019011700100470,0.7,0.0,2.5
2019011700100471,0.7,0.0,2.5
2019011700100499,0.1,0.0,1.3
2019011700100501,0.1,0.0,1.3
2019011700100519,-0.7,0.0,0.6
2019011700100520,-0.7,0.0,0.6
2019011700100583,-1.8,0.0,0.7
2019011800100013,-2.1,0.0,0.9
2019011800100036,-3.0,0.0,1.1
2019011800100050,-4.0,0.0,1.4
2019011800100140,-3.9,0.0,0.4
2019011800100172,-1.4,0.0,1.3
2019011800100173,-1.4,0.0,1.3
2019011800100204,1.8,0.0,0.7
2019011800100205,1.8,0.0,0.7
2019011800100247,4.3,0.0,1.7
2019011800100369,5.8,0.0,3.1
2019011800100396,4.5,0.0,2.4
2019011800100436,3.0,0.0,1.6
2019011800100506,2.2,0.0,1.3
2019011800100509,2.2,0.0,1.3
2019011800100548,1.7,0.0,1.5
2019011800100549,1.7,0.0,1.5
2019011800100573,1.5,0.0,1.0
2019011800100574,1.5,0.0,1.0
2019011800100604,1.4,0.0,0.3
2019011800100628,0.9,0.0,0.5
2019011800100630,0.9,0.0,0.5
2019011800100631,0.9,0.0,0.5
2019011900100058,0.2,0.0,0.7
2019011900100101,0.5,0.0,1.1
2019011900100147,2.7,0.0,1.1
2019011900100200,5.0,0.0,1.4
2019011900100201,5.0,0.0,1.4
2019011900100269,7.6,0.0,2.0
2019011900100270,7.6,0.0,2.0
2019011900100311,7.7,0.0,0.8
2019011900100325,7.7,0.0,1.2
2019011900100391,4.7,0.0,1.2
2019011900100392,4.7,0.0,1.2
2019011900100423,3.9,0.0,1.2
2019011900100498,4.3,0.0,1.8
2019012000100063,2.7,0.0,2.0
2019012000100064,2.7,0.0,2.0
2019012000100094,0.2,0.0,1.8
2019012000100134,-2.4,0.0,5.3
2019012000100181,-0.4,0.0,4.4
2019012000100183,-0.4,0.0,4.4
2019012000100270,1.0,0.0,4.6
2019012000100292,0.1,0.0,4.0
2019012000100297,0.1,0.0,4.0
